Text,Score,Suggestion
من چند ماهی هست که گرفتم  در یک کلام میگم که انتخاب بعدیم هم سرفس  شاید سرفس بوک  هست  اما در مرود اجرای نرم افزارها  شما به راحتی متلب و نرم افزارهای مهندسی رو اجرا میکنید  من برای نوشتن الگوریتم و شبکه های عصبی استفاده میکنم و فوق العادست عملکردش کلی باهاش کارهای خیلی خیلی سنگین میکنم که لپ تاپهای دوستانم با اون هیکل گندشون از پسش بر نمیان  مسئله آپدیتای ویندوز به نظرم یه نقطه قوتش ولی واسه کشور ما با این وضع اینترنت گویا مشکل ساز شده ولی خیالتون راحت آپدیتا خیلی کم حجم هستن و اگه هم دوس نداشتین می تونین قطعش کنین که من توصیه نمیکنم چون آپدیتا واقعا بدرد بخور هستن اپل یا مایکروسافت  ویندوز یا مک او اس  ما معمولا محصولات ویندوزی رو روی کامپیوترهای ضعیف خونگییا لپ تاپای ضعیف  با یک ویندوز کرک شده و کلی نرم افزارهای آلوده و قلابی استفاده کردیم و این دید منفی نسبت به ویندوز پیدا کردیم و فکر میکنیم مک خیلی روونه در مقابل ویندوز    در صورتی که این یک سوتفاهمی بیش نبوده  شما تو این محصول با ویندوز 10 تجربه فوق العاده روون و بدون هنگ و لگ خواهید داشت  تو ویندوز 10 با وجود ویندوز دیفندر نیازی به آنتی ویروس ندارین و عملا ویندوز 10 ویروس نمیگیره و در کل اگه قصد قیاس مک و ویندوز دارین برین تو دستگاه هایی که تو یه رنج قیمت هستن مقایسه کنین قطعا مک شکست میخوره تو امکانات و بهره وری خلاصه اگه خواستین با مک قیاس کنین همه موارد رو در نظر بگیرین و سعی کنین با دستگاهی قیاس کنین که تو یک رنج قیمتی باشه  قلمش خیلی خوبه و حس عالی داره  من جزوه های درسی رو با قلمش مینویسم  خوراک برنامه نویسیه خیلی حس خوبی میده  داغ نمیشه واسه من موقع وب گردی به خصوص اگه واسه مرورگرتون اد بلاکر نصب کنین  یه چندتا نقطه ضعف و انتقاد بود که من تو بخش نقاط ضعف لیست کردمشون  که مهم ترینش واسه من نبود درگاه یو اس بی تایپ سی و در نتیجه شارژ نشدن با یو اس تایپ سی  برای کارهای گرافیکی سنگین هم خوب نیست  اگه گرافیست هستین یا معماری میخونین  و رندرهای سه بعدی و کارهای سنگین گرافیکی می کنین برید سراغ گزینه های دیگه ,84,1
من خریدم حدود دوماهه چیز خوبیه مخصوصا برای دانشجوها که بازی نخوان بکنن باهاش  بازی های معمولی رو هم بخوبی اجرا میکنه و فقط مقاله نویسی کار های روزانه میتونم بگم بهترین انتخابه چون گارانتی خوبی هم داره طراحیش خیلی خوبه تنها ایرادی که میتونم ازش بگیرم اینه که پشت مانیتور جای انگشت میمونه روش   ,60,1
سلام دوستان حتما دقت کنید که این گیفت کارت فقط اکانتتون پلاس میکنه وحساب کاربریتونو شارز نمیکنه حواستون باشه ,96,1
عالی  راضی بودم ,88,1
در کل دستگاه خوبی هست  ولی قوری آن جنس بسیار ضعیفی بود و همان روزهای اول اندکی بدون آب روی جای خودش مانده بود و ترک خورد متاسفانه جنسهای تولید داخل در رقابت سختی هستند ,76,2
سلام من تقریبا دو ماهی میشه که این گوشی رو خریدم و خدا رو شکر هیچ عیب قابل توجهی نداشته که بخواد اذیت کنه از لحاظ ظاهری خیلی پشت گوشی قشنگه و تو چشمه و همون اول که میبینیش خود نمایی میکنه توی قدرت همه جور بازی رو اجرا میکنه پس نگران قدرت و عملکردش نباشید من  خودم بازی های مختلفی رو روش اجرا کردم مثل Mortal kombat X که واقها بازی سنگینیه ولی بدون کوچکترین مشکلی اجراش کرد گوشی همون اول Android 7 با رابط کاربری EMUI 5 1 اما به Android 8 و رابط کاربری EMUI 8 اپدیت میشه تو اپدیت قابلیت Game suit هم اضافه شده که میتونید قدرت گوشی رو تو اجرای بازی کنترل کنید و اگه اون رو روی حالت Gaming mode بزارید بازی مثل asfalt 8 رو تو پس زمینه حتی بعد از چند ساعت باز نگه میداره و این خبر خوبیه برای گیمرا توی دوربین هم هواوی چیزی کم نزاشته و واقعا امکانات عالی داره تو شب و محیط های کم نور میتونید از حالت Night mode استفاده کنید  توی این حالت عکس ها بدون نویز ثبت میشه ولی نیاز به پایه دارید توی روز هم که خودتون میدونید عالیه خود رابط کاربری توی اپدیت جدید بحبود هایی رو داشته و گزینه تشخیص چهره  Face unlock  هم بهش اضافه شده توی باطری هم نه میشه گفت بد و نه عالی اما خوبه توی یک ساعت و ده دقیقه کامل شارژ میشه و در استفاده ترکیبی از گوشی 1 روز کامل رو شارژ داره توی بازی های انلاین هم مثل Clash of Clans تو 1 ساعت بازی کردن با نت 4G باطری 6 درصد و توی Asfalt 8 تو 1 ساعت بازی 11 درصد کم شد در کل توی همه چیزش عالیه شک نکنید بخریدش اما اگه به دوربین اهمیت میدیید پیشنهاد من به شما Huawei P10 هست درضمن من این گوشی رو از دیجیکالا خریدم وتو 2 بدستم رسید شما هم اگه میخواید این گوشی رو بخرید از دیجی کالا بخرید که خیلی توپه ممنون از شما که نظر من رو درباره ی این گوشی خواندید ,96,1
این سیستم بیشتر به درد اتاق نوجوان میخوره تا استفاده به عنوان سیستم صوتی خانگی قیمتش در حالت عادی زیاده ورودیهای صداشم کمه تفکیک صداشم چنگی به دل نمیزنه  ,76,1
سلام خیلی با کیفیت و عالی ,100,1
فقط جنس کیبوردش کمی بده وگرنه لپتاپ بسیار خوبیه ,60,1
خیلی عالیه همه کاری باهاش کردم ولی فقط واسه بازی لنگ میزنه اونم فقط بازی های سنگین ولی اگر کیفیت بازی هارو یکم کم کنیم حتا سنگین ترین بازی های روز هم به خوبی میاره   ولی اگر دنبال وب گردی هستید این لبتال بهترین چیزیه که میشه خریدش چون خیلی کم لبتاب 14 اینچی هست که دراو نوری  CD Rom  داشته باشه واسه همین از دستش ندین من 3 ماهه که اینو خریدم و بسیار هم راضی هستم خیلی لبتاب خوبیه   فقط ماوس همراه آن کمی بیکیفیت است مثلا اگر کلیک راست و چپ را همزمان فشار دهد گیر میکند که این اصلا چیز مهمی نیست و میشود یک ماوس خوب خریداری کرد واسه کالر های توسط مثل فتوشاپ هم خوبه ولی واسه بازی های سنگین نمیشه انتضار داشته باشید که بدونه باگ بیاره واسه تو بازی های سنگین کنده اگرم به شار زر وصل نباشه هی بازی گیر میکنه واسه باز یهای سنگین حتما باید به شارژر وصل باشه   ,88,1
با اولین بار چرخ کردن گوشت  چرخ دنده ی پلاستیکی شکست  و متاسفانه این قطعه گیر نمیاد  و چرخ گوشت رو باید دور انداخت  ,0,3
نسبت به قیمت و محصولات مشابه عملکرد خوب و قابل قبولی داره ,72,1
تقربیا 9 ماه هست که اینو دارم و از دیجی گرفتم از همچیش راضی ام اما تنها عیبی که میتونم بگیرم اینه که دکمه هاش نرم نیست   نسبت به مدل قبلی     مدل قبلی دکمه های نرم تری داره   اینو گفتم واسه کسایی که براشون مثله خودم نرمی دکمه ها اهمیت داره   من خودم شخصا اگه دوباره برگردم به همون موقع که سفارش دادم   مدل قبلیش رو انتخاب میکردم  البته این نظر شخصی منه شاید خیلی ها براشون اصلا مهم نباشه و این حرف من هم اصلا عیب نباشه که من این عیب رو ازش گرفتم اما به هر حال از ما گفتن بود  با تشکر ,60,1
هندز فری خوش ساختیه و کیفیت ساخت خیلی خوبی داره اما به نسبت قیمتش کاری انجام نمیده  بر خلاف نظر دوستان من در محیط پر سرو صدا و محیز با صدای ثابت تست کردم قابلیت حذف نویز تقریبا کار نمی کنه می تونم بگم شاید 20 درصد از نویز محیط رو کم می کنه  ولی صدای بسیار بلندی داره و لی بخشی که باطری داره خیلی به کانکتور گوشی نزدیکه برای همین هی سنگینی می کنه  من این هندزفری رو با توجه به قیمتش توصیه نمی کنم  ,52,3
واقعا نگهداری شارژش پایینه بیشتر از یک ساعت روشن نمیمونه ,52,3
نصبت به قیمتش خیلی لپ تاپ خوبیه تو این دوهفته ای که خریدم مشکلی ندیدم ,84,1
آقا حتما پیشنهاد میکنیم هم جا داره هم قیمتش مناسبه و هم کیفیت ساخت عالی ,100,1
روز مهندس برای همسرم خریدم و راضی هست ,100,1
اگر بین خرید اطو مخزنی و پرسی مردد هستید من این دستکاه را پیشنهاد میکنم   در عرض 2 دقیقه یک پیراهن یا شلوار کامل اطو کنید و خسته نشوید   بدلیل حذف مخزن آب از دسته اطو وزن دسته کم شده و مچ دستتان خسته نمی شود  با فشار دادن دکمه بخار 500 گرم بخار خارج میشود که سخت ترین چروکها بسرعت باز میشود ,100,1
به نسبت قیمت که داره فوق العاده میباشد همه چیزش عالیییی میباشد حتما بخرید  ,100,1
ھدفونہ خوبیہ عالیہ بخرہدپشیمون نمیشید ,96,1
چند ماهی هست این محصول رو تهیه کردم  قدرت انچنانی نداره و لی کیفیت صداش خوبه  دنبال بیس قوی نبایستی باشید توی این محصول سیمش م خیلی نازکه ولی با کیفیت و خوبه ظاهر ش هم عالیه موفق باشید  ,84,2
بیاس بسیار زیبا و صدای شفاف  درکل تو رنج خودش بسیار با کیفیت ,72,1
اول برای خرید دو انتخاب داشتم یکی لپتاپ hp بودش که هارد 1ترا وگرفیک 2 AMD بود  درحالی که هارد و گرافیک دو برابر این مدل ایسوس بود با مشاوره بلعخره با توجه به برند وکیفیت asus رو انتخاب کردم  چند روزه لپ تاپ پو گرفتم بار اول خواستم ویندوز 7 روش نصب کنم تاچ پد و موس کار نمیکرد وخیلی مشگل داشت برام بلعخره ویندوز 10 رو نصب کردم که فوق العاده بود گرافیک بالا کیفیت و تنوع خوب صدا  خرید این لپ تابو بهتون پیشنهاد میکنم خیلی از خریدم راضیم   ,72,1
خیلی ازش راضیم  به پوست یه برق خاصی میده مرطوب نگه میداره پوستمو ,96,1
دو ماهه خریدمش   محشره اول این که باتری فوق العاده عالی داره   تو پاور سیوش ده ساعت و معمولی هفت ساعت رو جوابه   ثانیا کیفیت ساخت عالی  بعد ابنکه با اینکه ای فایوه ولی 6200 u  ک کار ای سون 5000  رو میکنه  ثالثادو تا گرافیک داره یکی برا امور ساده و یکی برا محاسبات سنگین مث گیم  سنسور اثر انگشتشم عالیه  فقط بدیش اینه ک کیبوردش نور پس نداره و اینکه وبکمش ضعیفه ,80,1
بسیار  با کیفیت   با تکنولوژی روز و زیبا  ,84,1
دریل بسیار باکیفیتی است توصیه میکنم تهیه کنید  ,88,1
چهار سال عالی با این گوشی و ادامه داره  گوشی جدید رو هم باز از سونی می گیرم که بی سر و صدا  جنس عالی عرضه می کنه  ,84,1
امروز به دستم رسید همون چیزی که انتظار داشتم از خریدتون پشیمون نمیشید ,88,1
این لپ تاپ رو از دی جی کالا خریدم نزدیک دو سال دارمش باورتون نمیشه دقیقا 1سال ویندوز عوض نکردم با اینکه همش تو اینترنت هستم کارای روزمره مثل وب گردی فتوشاپ بازی   بدون هیچ مشکلی کارامو را میندازه و ازش راضیم ,100,1
سلام  این هدفون صدای زیر بسیار ضعیفی داره بصورتی که اولین باری که استفاده کنید دلتونو میزنه و پشیمون میشید بهترِ در خرید هدفون عجله نکنید و از خودتون قبلش امتحان کنید ,44,3
آقا یه ساله دارمش واقعا حرف نداره هر بازی و نرم افزار سنگینی رو بگی با بهترین کیفیت اجرا میکنه از gta v تا battle 4 حرف نداره ,100,1
اصلا پیشنهاد نمی دهم چون خیلی بی کیفیت است ,20,3
من فکر میکردم از نظر کیفیت  بدنه شبیه چرخ گوشت توشیبا که چرخ گوشتای قدیمی پارس خزر هست باشه ولی در ظاهر بی کیفیت میومد حتی من یک بار لوازم استیلشو شستم و دیدم رنگ داخل گلویی چرخ گوشت یه جوری شده انگار که ساییده شده باشه و مواد شوینده روش باقی مونده باشه شستمش باز ولی نرفتم بدنه و گوشت کوب و سینی هم که پلاستیکه   فقط صداش نسبت به مدل قدیمیش گمتر ,60,1
همچی عالی هیچ صدایی شنیده نمیشه جز صدای موزیک مخصوصا با قابلت نویز کنسلینگ عالی ,68,1
خرید این محصول رو به همه پیشنهاد میکنم خیلى سریع و راحت ارایش رو پاک میکنه و ارایش سنگین چشم به راحتى و فقط با یه پد ارایشى و یکم ازین پاک کننده کامل و سریع پاک میشه ,92,2
سلام دوستان من این باند رو دو هفته پیش گرفتم از دیجی کالا پخشم جی وی سیه و قصد بستن آمپ و ساب رو هم نداشتم و ندارم دنبال باندی بودم که بیس زیادی داشته باشه با توجه به بودجه ای که داشتم بین این باند و 6975کنوود مونده بودم خیلی تحقیق کردم و آخرش به این نتیجه رسیدم که این باند عمر قدرت بیشتری داره  الانم کاملا ازش راضیم و بهتون پیشنهاد میکنم این باند رو انتخاب کنید با تشکر از دیجی کالا ,96,2
خیلی خوب بود برای کسانی که میخان عکس و فیلم های خانوادگی بگیرن ,82,1
من شهریور ماه 96 این لپ تاپ رو از دیجیکالا خریدم از شانس بدم مشکل auto power off داشت  یعنی خاموش شدن بدون دلیل   این مشکل به علت قطعات نامرغوب ایجاد میشه    گارانتی لپ تاپ آواژنگ بود  الان که این مطلب رو می نویسم دو هفته است که دادمش به آواژنگ برای حل مشکل  ولی خبری نشده و پیگیری هم میکنم میگند تو فرایند تعمیر است    از خرید این لپ تاپ واقعا پشیمونم و به همه توصیه میکنم اصلا سمت ASUS نرند  دیگه هم بعید می دونم که از دیجیکالا خرید کنم  با تشکر ,40,3
خوشگله ولی خیلی گرونه  ,68,2
من پوستم مختلطه  حدود دو ساله که از این کرم استفاده میکنم و خیلی دوسش دارم  پوستمو خیلی براق نمیکنه ولی یه برق قشنگ و دلپذیری بهش میده که دوست دارم  چون من پوست کاملا مات رو نمیپسندم  پوشش دهی این کرم معمولیه  پوست من جوش یا لک نداره برای همین از پوشش کرم راضی ام  شاید پوستای جوشدار یا لک دار خیلی خوب نباشه  قبلا از الارو استفاده کردم ولی منافذ پوستمو باز میکرد و ظاهر خیلی چربی ایجاد میکرد  ,96,1
بعد از شش ماه که بین همه مدل قابلمه های دیجی تحقیق و بررسی کردم این مدل ایرانی رو انتخاب کردم و از خریدم کاملا راضیم  جنس بدنه داخلی و خارجی عالی هست به حدی که اصلا احتمال نمیشه داد که خراب بشه  سایز و ابعاد خیلی کاربردی هست  ظاهر خیلی زیبایی هم داره   با همه اینها واقعا چرا تولیدات کشورهای دیگه رو بخریم   ,100,1
لپتاپ بسیار بسیار خوبی هستش تو  این رنج قیمت و فراتر از اون  گزینه بسیار مناسبیه فقط استاندارد وای فای 5 گیگاهرتز هم پشتیبانی میکنه که دیجیکالا ننوشته ازش باتریشم خیلی خوبه و نسبتا قویه حافظه گرافیکیشم 4 گیگابایت از نوع دی دی آر 5 هستش که دیجیکالا اشتباه نوشته  قدرت سی پیوش از آی 7 نسل  7 هم بهتره در کل اگر میخواید لپتاپی بخرید حتما حتما نسل 8 بخرید ,100,1
جنسش عالیه تنها ایرادی که داره لبه ظرف محافظ نداره اگه به جایی بخوره یا با قاشق ضربه بزنید خط میفته اکثر خانمها عادت دارن بعد هم زدن غذا با قاشق به لبه ظرف ضربه میزنن در مورد این باید رعایت کنین  ,100,1
خیلی ازش راضی ام سیم بلدنش دست و پاگیر هست اما خیلی کیفیتش خوبه ,60,1
من این اتو را از دیجیکالا خریداری کردم  به نظرم اتو از کیفیت مناسبی برخوردار می باشد و همچنین با توجه به اینکه در تخفیف یلدا خریداری کردم از قیمت هم راضی می باشم ولی متاسفانه بعداز باز نمودن کارتن دیجیکالا با  بسته بندی بسیار نا مناسب روبه رو شدم کارتن اتو بطور کلی خراب و درب آن باز و همچنین پیمانه آب نیز داخل آن نبود البته اتو صدمه ندیده بود ولی انتظار بیشتری از دیجیکالا داشتم   ,84,1
من چند ماه است که این محصول را خریداری کرده ام و از هر لحاظ خرید این محصول را پیشنهاد میکنم    با تشکر از  دی جی کالا ,96,1
در کل خوب و قابل قبوله  فقط دفترچه راهنماش خیلی ریز نوشته شده و ترجمه خوبی هم از طرف سامسونگ نشده  نمیشه گفت به خوبی و کارایی فر گازی هستش اما کار آشپز رو راه میندازه و میشه باهاش کار کرد و نتیجه گرفت ,80,1
سلام من چند روز پیش این دستگاه رو خریدم و خیلی ازش راضی هستم  قدرت خیلی خوبه داره و من مشکلی باهاش ندارم  فقط اگر می خواهید چرخش معکوس رو فعال کنید باید صبر بدید تا کاملا از حرکت بایسته والا ممکنه جرقا بزنه در ضمن جلوه خیلی زیبایی داره به خاطر قطعات براقی که داره و در آشپزخانه خیلی قشنگ و شیک هست در عین حال که کاراییش هم خوب هست کسانی که علاقمند به خرید کالای ایرانی هستند این هم به نوعی در ایران ساخته شده و روش نوشته Iran   Japan ازش راضیم ,88,1
وقتی بعد از چند روز معطلی تحویل گرفتم و سیستم نصب شد  مانیتور گهگاه خط خطی میشد  ناشیگری کردم و اطمینان به دیجی کالا که جنس معیوب نمی فروشه  تا اینکه بعد چند ماه کلا مانیتور  رفت و دو ماه تو گارانتی بود تا تعمیر بشه  ,44,3
گوشیه فوق العاده ای هستش اصلا نمیشه براش عیب و ایرادی گرفت دیجی جووون بابت هدیه ها ممنون ,100,1
هرچند که به نسبت آبمرکبات گیرهای مشابه دارای قیمت بالاتری میباشد ولی به نسبت راحتی و کم صدایی از خرید خود خیلی راضی هستم  به راحتی با 4 یا 5 عدد پرتغال یک لیوان آب پرتغال طبیعی نوش جان میکنید  ,80,1
واسه رنگ آمیزی خیلی خوبه خودش پمپ هوای  کمپرسور  سیار داره و دیگه نیاز به پمپ هوای مستقل  که هم سنگینه و هم معمولا محدودیت در جابجایی داره  نیست  شاید شیلنگ هوای فنری به لحاظ دست و پاگیر بودن با سیم برق این محصول مقایسه بشه ولی سیم برق زیاد دست و پا گیر نیست  ضمن اینکه برای ازدیاد طول سیم برق به راحتی میتوان یک سیم سیار برق را استفاده کرد ولی برای ازدیاد طول شلنگ هوا به این راحتی نمیتوان اقدام کرد  ظاهرا جنس مخزن رنگ پیستوله  پلاستیکی هست که این موضوع مغایر با حس با کیفیت و خوش ساخت بودن محصولات بوش میباشد  در خصوص توان و عملکرد کمپرسور هوای آن نظری ندارم ولی ظاهرا با 440 وات  کم قدرت بنظر میرسه  ,80,1
سبک و زیباست اما بیسش اونجوری که فکر میکردم نبود ,60,2
چند ماهی میشه که خردیدمش  دلیله اصلیش حمایت از محصولاته ملی بود  که تا حالا هم خیلی راضیم پارس خزر از وقتی با شرکت توشیبا قرار داد بست خیلی از نظر طراحی و تولید پیشرفت کرد  من هم از همین دیجی کلی محصولاتش رو خریدم که تقریبا از همش راضیم  ,60,1
این لب تاپ در یک کلام عالیه  اما سرویس دیجی کالا و اطمینانی که در خرید این محصول به من داد قابل تقدیر است  من یک فلش بوت برای نصب ویندوز درست کردم که متاسفانه اشتباه بود  برای اولین بار می بایست دی وی دی بوت داشته باشید  اما بعد از چند روز که با دیجی تماس می گرفتم ضمن راهنمائی یک هفته دیگر گارانتی تعویض رو افزایش داد از دیجی به خاطر ایجاد اطمینان و احساس امنیت در خرید کالاهائی اینچنین متشکرم ,92,1
این هندس فری تازه به دستم رسیده  و برای کسایی که انتظار شنیدن یک موسیقی با کیفیت دارن حتما پیشنهاد میکنم  بعد از شنیدن آهنگ با این هدست آدم به این فکر میکنه انگار تا حالا آهنگ نشنیده ,96,1
سرعت  فرستادن  محصول و دقت در سالم رسیدن آن  ستودنی است  تنها نکته ی ضعیف این اشت که در معرفی کالا  هیچ جا اشاره نکرده اید که این ظرف  ساخت کشور چین است  برای نگه داشتن اعتماد مشتریان نیکوست که تمام اطلاعات محصول را شفاف و گویا در سایت درج کنید   ,88,2
